Yorum,Etiket
güzel ama defolu geldiği için iade edeceğim,0
iki farklı beden de iki ayrı sipariş vermiş olmama ve iki ayrı kargo bedeli ödemiş olmama rağmen ikisini de aynı pakette ikisinede büyük boy göndermek nedir.yaziklar olsun,0
Ürün küçük geldı,0
uzerındekı baskılar bır yıkamada soldu,0
idare eder fazla beklenti içinde olmayın,0
çok ince ve kalitesiz,0
hem yikayinca cekti hemde bikac yikamaya renk desen mahfoldu sanki yillarca giyilmis gibi kotu oldu son derece kalitesiz,0
ürünü kızm görmüş çık beğenmiş aldık hızlı kargo geldi yıkayalım öyle giysin dedik kelebekler ilk yıkamada silindi ürün çekti kalitesi çok kötü kimseye tavsiye etmiyorum benim param boşa gitti kızım giyemedi çok üzüldü.,0
Kızıma aldım çok kalitesiz bir ürün sakın almayın,0
ürün tüylü geldi iade etim hemen kabul edildi,0
Bedeni ile aynı değil bir beden küçük geldi ayrıca ilk yıkama 1 beden daha çektim kalite açışından düşük bir ürün fazla beklentiye girmeyin,0
11.12yaş istedim bana gelen 9 yaş hiç kaliteli degil,0
Kardeşime aldım en büyüğünü aldım ki olması lazımdı olmadı iade,0
ürünlerık eksık ve küçük geldı 1 adet gönderılmedı,0
çok küçük geliyor 12 yaşın daki kızıma aldım 8 yaşındaki kızıma oldu,0
Ürün kumaşı çok kötü sanki senelerce giyilmişte yıkanmaktan yıpranmış gibi baskısı kalitesiz kızım 9 yaşında 12 yaş aldık ve küçük geldi iade,0
9/10 yaş istedim 5/6 yaş geldi birde iade istemediler hediye olsun dediler tedirgin olmamak mümkün değil inşallah yenisini gönderirler,0
Buyuk geldi,0
Kalite sıfır,0
küçük geldi,0
cok kucuk geldi. 5 yas anca giyer. yazıkoldu. bayaabuyuk alın.,0
çok tüy tutuyor malesef kumas kalitesi olarak iyi değil yıkanınca küçülüyor beden olarak büyük alınması lazim,0
Kendi yaşımı almama rağmen küçük geldi,0
cok güzel ama biraz ince geldi,0
kalitesi çox zəif .,0
11 yaş kızım için aldım çok küçük geldi iade ettim,0
Kucuk geldi,0
Ürün çok küçük iki beden büyük alınmalı fiyatına göre normal,0
kalibi küçük 9 yaşındaki kızıma 12 yas aldım yinede biraz küçük geldi ve yıkayınca da cok küçüldü,0
"7,8 yas almıstım ama belı 10,11gbı geldı hıc memlun kalmadm belı cok bol",0
Kotu men bu desti sifaris vermisem mene basqa paltar gonderibler. Erkək paltari gelib.Nasil deyisdiremek olar urunu.,0
ürün özensiz paketlenmiş adamlar resmen buruşturup torbaya sokmuşlar paketleme sıfır ürün kalitesiz bu paraya değmez,0
9 yaşinda kuzima 11-12 taş aldim çok küçük geldi. Sanki 5 - 6 yaş giyimi kibi.,0
hic beyenmedim.ben 11-12yas sifaris verdim 9-10yas geldi.kizim hic giyemedi,0
"11yas uşaq üçün 12yas sifariş verdim.. keyfiyyət yaxşı olsa da,çox balaca razmer gelib",0
kargo hızlıydı iki gün içerisinde geldi ama ben 9_10 yaş istedim bana 5_6 yaş geldi çok kaliteli bı üründe değil kolunun biri uzun biri kısa geldi,0
Salam.13-14yasa sifariş etmisdim.8-9yasa olanini gondermisiz.Nece deyise bilerem?,0
hiç begenmedim ūst 5 yaş geldi alt 9 yaş geldi.tavsiye etmem,0
ürün elime eksik ulaştı. ikizlerim için iki adet ürün sipariş ettim ancak tek ürün geldi. yani iki takım fiyatına tek takım almış oldum. Bir dahakine alışveriş için tercih etmeyeceğim bir satıcı. paramın yarısı resmen satıcıya hibe oldu. Trendyol da iade oluşturabilirsiniz dedi ancak ürünü kullandığımız için iade de edemiyorum.,0
kargo konusunda 1 hafta sürdü kumaşta kaliteli değil memnun kalmadım,0
malı çok kötü,0
Ürün yırtık geldi resmen iade etmek istiyorum iade talebinde bulundum iade kodu bile oluşmuyor,0
iğrenci bir kumasdı,0
yanlış ürün geldi,0
"bence baya kötü.""cok kaliteli"" diyenleri anlamıyorum.kumasi çok kötü almayın.fiyat performans ürünü falan değil. zaten incecik bir kere yikadiktan sonra daha kötü oluyor. bence 250 TL'ye kalitesiz bir şey alacağıniza daha pahalıya çok kaliteli bir şey alin",0
Resimle çok aynı değil,0
okadar kötü ki gelince kısa devirde bı yıkayım dedim daha giymeden hemen İlk yıkamada bütün baskısı döküldü,0
Sakın almayın çok kalitesiz bir ürün! yazıklar olsun,0
Ürün çok kötü kumaş kalitesi sert baskısı çok soluk hiç görseldeki gibi değil tavsiye etmem kimseye,0
tamam ürün hoş görünüyor da yani bu baskı çok kalitesiz bir makinede yıkayınca gider çok boşluk var renkler arasında iade paketi bile açmadım zaten,0
kesinlikle tavsiye etmiyorum fiyatı Uygun olabilir ama parayı çöpe atmak daha mantıklı ilk yıkamada kelebekler den eser kalmadı,0
5.06 yaş geldi ben 11:12 yaş sipariş etmeme rağmen,0
ürünün resimdeki ile hiç alakası yok kumaşı o kadar kötü ki 30 derece de yıkamama rağmen 2 beden küçüldü üzerindeki baskılarda tamamen silindi asla tavsiye etmiyorum insanlar yorumlara bakarak alıyor Lütfen doğru yorumlarda bulunun gerçekten çok kötü,0
ne istedik nasıl bir elbise geldi almayın diye yazıyorum,0
Sakın almayın ilk yıkamada kelebekler soldu,0
"Alalı bir hafta oldu. Ürünün ilk yıkamada rengi soldu, kelebek modeli soyuldu. Hiç böyle beklemiyordum. Asla tavsiye etmiyorum.",0
tek kelimeyle parasını haketmeyen bir ürün,0
hıc beğenmedim kumaş çok kötü ıade,0
yaşına göre çok küçük kalitesl iyi değil,0
Kargo elime ulaşmadıgı halde teslim edilmiştir yazıyor bu nasıl olabilir ben böyle magduriyet yaşıyorum hemen çözüm bulunmasını istiyorum benim kargom nerede yardımcı olmıyorsunuz,0
"ürün fotoğraflarda göründüğü gibi modelde gelmedi , kirli, defolu gibi önünde her yerinde çizgiler var, kumaşı ince , kalıbı 3 beden dar, ayak bileği dar,bacakları dar, hele hele kolları kısacık , fotoğrafta uzun kollu diye aldım büyük beden olsun dedim ama ürün aksine dar ve kısa kollu geldi,hiç ama hiç tavsiye etmem.",0
ilk yıkamada kelebekler silindi bı anlamı kalmadı,0
Yanlış ürün gönderiliyor 5-6 yaş siparişim 11-12 yaş geldi,0
dalga geçiliyor herhalde hemen iade edeceğim,0
hiç güzel gelmedi ve kolun biri dar kesim diğeri geniş en büyük yaşını aldım kızım 10 yaşında ama olmazdı kollar kısa geldi bide en kötüsü tek kol çok dar iadeyle ugrasamicam malesef,0
iade etmek istiyorum çok küçük oldu baya dar,0
hic iyi degil kumas,0
kumaşı çok kalitesiz,0
örün çok kütü o paraya bile değmez,0
ürün cok kötü 11 12 aldım ancak 5 yasa göre evde kullandıgım temizlik bezi bile daha kaliteli göründügü gibi değil tavsiye etmem kesinlikle,0
ben iki kat sipariş verdim bir takım tek geldi ya paramı geri iyade edin yada diyer urunude gönderin lütfen,0
o kadar kalitesiz bir takım ki daha ilk yıkamada tiftiklendi kelebeklerin renkleri ( boyasi ) gitti iz kaldı sadece içi polar güya hep dökülüyor.,0
ürün çok kötü geldi bir kolu ile bir paçası kısa artı baskı kötü ilk yıkamada baskısı yok oldu böyle bir ürün nasıl satışa sunuldu anlamış degilim,0
11 12 yaş sipariş ettik 9 10 yaş göndermişsiniz küçük geldi,0
ilk yıkamada kelebeklerin rengi soldu,0
bana gelmedi kargo,0
bu kadarıda olmaz 11 12 yaş istedim 7 8 yaş gönderilmiş bu kadar özensiz paketleme yazık yani iade edicem,0
yanlış renk gönderildi.,0
iki ürün sipariş ettim bir ürün geldi iyade etmek istiyorum,0
9 10 yaş istemiştim bana 7 yaş göndermişsiniz,0
baba yanliş orun gonfermişsiniz,0
Kaliteli değil,0
bugün teslim 04 10 2024 aldım yanlız altı uygun bir şekilde oldu ama üstü 5 yaşındaki çocuğa olur .,0
5 yaş istemiştim aşırı büyük göndermişler. Etiket bile yok üstünde. Zahmet edip bir poşete dahi koymamışlar. Çok özensiz bir şekilde geldi.,0
ürün kusurlu geldi iade ediyorum.,0
vasat. fiyatına aldanmayın,0
ürün etiketi yok beyenmedim,0
Ürün büyük geldi resimle de tam uyumlu değil,0
bedeni kücuk geldi ve kusuru var,0
çok kötü sıfır kalite hic göründügü gibi degil pjama gibi evde giydirdim,0
istediğimiz yaşıt gelmedi kim ilgileniyirsa daha dikkatli olmali bnce aldığım ürünü gndermedm geri çünkü diğer çocuğuma koydum uğraşmaya vaktim yok,0
İade ettim maalesef,0
kalite çok düşük.,0
yanlıs ürün almayın sakın,0
çok kalitesiz kumaşı var iade,0
pantolonu çok kısa geliyor hiç tavsiye etmiyorum kızım severek aldı ama beğenmedi.,0
kalıp dardı,0
resmen çöp urunler,0
İade ettim sökük geldi kolu ve aşırı kalitesiz sadece görseli güzel,0
11-12 yaş almama ragmen anca 4- 5 yaşına olur hiç begenmedim,0
yanlış ürün gönderdiniz.ben bu takımı istemiştim telefon kılıfı geldi yardımcı olurmusunuz.,0
salam bu urun hic bekledigim gibi gelmedi ben cok miyafet aldim trendyoldan amma bu kada keyfiyyet bakimdan kotusun almadim nasil iyade ede bilirim ya esim kiziyoy bu ne diye,0
Ürün eksik geldi,0
şekildeki ilə əlaqəsi yoxdu tepelerine deysin,0
alt beden ayrı üst beden ayrı dalga mı geçiyorsunuz yani 10 yaş istemişim 7 yaş göndermişsiniz,0
kumaşı çok kötü,0
Salam men bu desden usağıma aldım malesef hic razı kalmadim şekilde gorudüyü kimi deyil malesef .materiyal 0 hiçç beyenmedim çocuk giyinmedi bile naraziyam bax buna gorede bundan sonra malesef mal vurmaga çox üzgunüz qorxuyoruz,0
ürün tüylenme yaptı memnun kalmadım,0
verdiyim sifariş gelmedi başqa bir şey geldi,0
Idare eder bi urun,0
çok kalitesiz hemen ilk yıkamada topaklandi,0
Kalıbı çok küçük.8 yaşında kızıma 11-12 yaş aldım tam oldu.2 beden büyuk alın.Kalitesi de kötü.Tuyleri dökülüyo,0
büyük beden almama rağmen takımın kalıbı çok küçüktü. Yıkanınca daha da küçüldü. Kelebeklerim rengi bu kadar canlı değil hatta beyaz mavi görünüyor ancak gelen üründe kelebeklerin rengi turkuaz ve maviydi. yani aldığıma pişman oldum açıkçası,0
rengi ilk yikamada soldu ve defolu geldi,0
altı farklı beden üstü farklı beden değiştirmek için. zamanın yoktu,0
Kalitesin Begenmedim,0
Kumaş kalitesiz ölçüleri tam değil tavsiye etmem,0
"Hiç beyenmedim, material çox pisdi, hələ üstündəki kelebek baskısı çox pis",0
hiç memnun kalmadım çocugum giyer giymez baskıları döküldü,0
malı hiç güzel değil tavsiye etmiyorum çok çabuk dökülmeler oluştu gerçekten hayal kırıklığı,0
hiç isteğim gibi gelmedi rengi çok çok soluk benden olarak da olmadı,0
Böyle Trendyol gibi güvenilir bir siteden nasıl defolu ürün gönderilir birde alt 7/8 yaş katılmış 9/10 girdiğim siparişi kesinlikle tavsiye etmiyorum,0
Ürün küçük ve kalitesiz geldi üstü kıyafet çocuğun kafasından geçmiyor dar ne yapmamız gerekiyo,0
iade edicem cok kucuk 9 10yas vurmama ragmen kucuk geldi pantalon,0
"ürün dikim hatası geldi ve iade edicem gerçekten trendyolun böyle satıcıları bünyesinde çıkartmalı sürekli aldığım ürünler ya yanliş ,farklı ürün yada kusurlu ,eksik geliyor bu kaçıncı satıcı bilmiyorum",0
Güzel yorumlara bakarak almıştım ama sonuç hüsran çooook çok kötü kalitesiz bi ürün hiç bi şekilde tavsiye etmiyorum,0
elime ulaştı yanniz üst büyük alt küçük ve baca lastiği çook dar.. 5 ve 10 yaş 2 kızım var.. 5 büyük 10 küçük oldu artık iade ile uğraşmicam küçük kızım seneye giysin çok özensiz.. bir üretim net..,0
Baskılar düzgün yapıştırılmamış alt beden 7\8 üst beden 9\10 bukadar da umursamazlık olmaz,0
çok kötü bir ürün soluk kalite hiç yok,0
ürün kalitesiz kelebekleri yikadiktan sonra soluyor iki yıkamadan sonra esomanin bel lastiği gevşedi çocuğun belinde durmuyor beğenmedim,0
ürün elime şimdi geçti kesinlikle tavsiye etmem 11 12 yaş istedik bize gelen 8 9 yaş kumaş çok kalitesiz,0
Urun cok küçük. 11 12 yaş 8-9 yasa uygun,0
5-6 yaş sifariş etmişdim 7-8 geldi,0
11 yas isdemisdim usdu doru geldi ama alt kismi cok kucuk bu nasil olur cocuk pantalonu gibi,0
ürünü 11 12 yaş istememe rağmen 7yas geldi.böyle bir hata nasıl yapilabilir .o kadar güvenimize rağmen nasıl böyle yanlış yapabilirsiniz,0
resimdeki ile gelen farklı bel kısmı lastikli aldatma yapmışlar burda hiç begenmedim,0
kesinlikle istediğim ebatta ürün değil 12 yaş istememe rağmen 9 yaş gonderdiniz,0
bvalla kitay paltarı sizinkinden yaxşıdı bu nedi ggondermisiz usag 19gundu gözü yolda qalıb 9……10 yaş yazmisam 7...8 ggondermisiz.hemde nə gündə sökük sökük tükü necə tökülür dəhşət pulu geri qaytarın gəlib malınızı goturun,0
işlenmiş geyimi göndermişdiniz,0
iade ettim neden iki hafta geçmesine rağmen işleme alınmadı,0
9-10 yaş aldığım ürünün üstü 7-8 yaş altı başka beden geldi. Takımın altının beden etiketi yırtılmış. Ayrıca kalitesi de iyi değil.,0
Balaca razmer geldi + iki dene dest hec biri olmadi,0
Salam uzurlu sayun men beyemedim sekileri ustunden qopur ve ceklisdeki kimi deyil bele seyler etmeyin olurmu,0
alakasız ve çok kucuk,0
Kumaşı güzel ama kalıbı orantısız ben 9 yaşindaki çocuğuma 12 yaş aldım kısa ve dar geldi hiç beğenmedim,0
Bu Ürünü sipariş verdim.Bu gün teslimat yapıldı ama asla gelen ürün ile sipariş ettiğim ürün aynı değil satıcıya mesaj atıyorum cevap vermiyor iade kodu alamıyorum.Tuketici haklarına şikayet edecegim,0
çok kötü irenç ben 9 10 yaş giniyorum ama 5 6 yaş geldi almayın kumaşı çokkötü😡😡😡😡😡,0
sayfadan siyah kelebekli kız eşofman takımından istemiştim yanlız bana gönderilen brooklyn erkek çocuk eşofman takımı oldu başka ürün değişimi yapmak istemiyorum iade edecem hayal kırıklığına uğradım gerçekten güvenilir olmadığınızın ispatı bu olsa gerek yani bi bende olsa bu sorun şansızlık deyip geçiştiririm bi şekil ama kaç kişide aynı hatayı ya,0
sifarişi. nədən eksik göndərirsiz ? şəkli qoymusuz. aldadırsız tək şalvar gondərmisiz,0
Çok basit olmuş kumaş hiç iyi değil,0
çok beğendim hızlı kargo bir beden büyük alınabilir,1
"yigenime aldım, hediye .O kadar sevindi ki kumaşı, dokusu,görüntüsünu ,çok beğendiler . Çok teşekkür ediyorum bundan sonra siz 🙏☺️🤗",1
"kizim icin aldim,cok guzel",1
Ürün fiyatına göre çok kaliteli,1
çok güzel kızım bayıldı,1
Çok güzel,1
çok beğendim kızım severek giyor ve çok rahat,1
paketleme güzeldi teşekkür ederim,1
bayıldım çok güzel özenle kargolanmış,1
kızım için aldım şık güzel tavsiye edilir,1
yeğenim için almıştım çok güzel ve ben çok beğendim içi polar tarzı göründüğü gibi geldi ve çok hızlı geldi elime,1
çok güzel tam yaş alabilirsiniz teşekkür ederim,1
Kızıma aldım süper takım kalitesi çok güzel,1
tam kızıma. uydu,1
kaiteli bir ürün indirimdeyken aldım kızım çok beğendi,1
kalitesi iyi beğendik kardeşime aldım çok beğendi,1
9 yaşa 9-10 yaş sipariş verdım. Yani tam beden.,1
teyzem kızı için aldı çok beğenildi rengi harika,1
kızım için aldım çok beğendi,1
kızım için almıştım çok güzel kumaşı falan çok rahat,1
gayet güzel tam oldu,1
çox sağolun qızlar London böyük beden tesetur,1
Kardeşime aldım çok beğendi aldıktan hemen sonra indirime düşmesi biraz üzdü,1
güzel ürün ama bir beden büyük alın daha iyi olur,1
Guzel urun tam beden,1
yigenime aldim cok guzel,1
tam oldu ölçüsü,1
7yasindaki kızım için 7-8yas aldım tam oldu.,1
"Kizim ucun aldim . Cox yakiwdi kizima , tewekkur ederim .",1
guzel 1beden buyuk almanizi tavsiye ederim,1
Ürün gayet güzel ve kaliteli olarak geldi.Kizim hemen giydi ve bedeni tam oldu.Bedeninizi almanızı tavsiye ederim.,1
Çok beyendim teşekkür ederim,1
eşofman takımı bugün çok beğendim Teşekkür ederim,1
kızım çok beğendi hızlı teslimat için çok teşekkür ederim 🤗,1
yigenime almıştık çok beğendik,1
kardeşime aldım muq,1
Çok güzel hediye aldım çok beğenildi alt biraz büyük,1
çok güzel kumaşı çok beğendim tavsiye ederim,1
ürün. güzel begendim. çocuklar. da. begendi. satıçıya çok. teşekkürler,1
uygun fiyat hediye aldım,1
efsaneydi çok beğendik,1
Gayet güzel ürün tesekkur ederim,1
resimdeki gibi geldi çok beyendik kızıma almıştım çok teşekkür ederim,1
Güzel beğendim,1
Tam bir fiyat performans ürünü çok güzel yiğenime aldım,1
harika tam istediğim gibi geldi kızıma aldm çok beğendim,1
harika bayildim,1
çok güzel yigenlerime aldım teşekkürler,1
Kaliteli ürün,1
güzel geldi hayırlı satışlar,1
Yeğenime aldım çok beğendik teşekkür ederiz,1
Kalitesine bayıldım çok iyi,1
kızıma aldım tam oldu kalitelide,1
Hem Kaliteli Hem Hesaplı,1
hediye olarak aldım güzel geldiler,1
kardeşim için aldım çok sevdi,1
gayette güzel bir beden büyük tam olur diye düşünüyorum,1
yienim için almıştım çok güzel çok beğendi,1
Çok teşekürrler çok kaliteli bir beden büyük alınabilir,1
yeğenim için almıştım beğendi kendisi kumaşıda normaldi teşekkürler,1
PARASINA DEĞER VE ÇOK KALİTELİ BİR ÜRÜN.TAVSİYE EDERİM.BİR BEDEN BÜYÜK ALIRSANIZ İYİ OLUR,1
komşuma aldık gayetvguzeldi,1
yeğenime aldım çok güzel ❤️,1
Çk gzl ve çok kaliteli gerçekden alın,1
kızım çok beğendi çocuğun yapısına göre 2 beden büyük aldık,1
kızım için aldım gayet iyi teşekkür ederim,1
müthiş kızıma çok güzel oldu teşekkür ederiz,1
Tam bedene uygun alınabilir,1
çok güzel geldi,1
Fiyatına göre çok güzel ama 2 yaş büyük alınmalı bize küçük geldi,1
6 yaşında ki minyon kızıma aldım boy 110 kilo 17 5-6 yaş aldım çok güzel oldu seneye de giyebilir,1
tek kelimeyle mükemmel bir ürün teşekkür ederim,1
8yasında kızım için aldım 11-12yaş aldım tam denk geldi ürun düzgun ve kaliteli geldi teşekkürler,1
